group;hg;feather_type
Adult;85.475;back
Adult;16.046;back
Adult;0.792;back
Adult;23.86;back
Juvenile;18.75;back
Juvenile;17.5;back
Juvenile;12.62;back
Juvenile;9.72;back
Juvenile;6.143;back
Juvenile;5.663;back
Adult;50.592;tail
Adult;38.178;tail
Adult;25.526;tail
Adult;24.141;tail
Adult;20.816;tail
Adult;19.84;tail
Adult;13.859;tail
Adult;40.078;tail
Adult;28.24;tail
Adult;7.88;tail
Adult;65.932;wing
Adult;46.73;wing
Adult;42.879;wing
Adult;41.246;wing
Adult;40.502;wing
Adult;37.838;wing
Adult;36.897;wing
Adult;33.379;wing
Adult;30.586;wing
Adult;29.318;wing
Adult;26.633;wing
Adult;24.241;wing
Adult;22.664;wing
Adult;22.156;wing
Adult;21.475;wing
Adult;20.114;wing
Adult;17.051;wing
Adult;15.42;wing
Adult;12.534;wing
Adult;12.455;wing
Adult;39.179;wing
Adult;35.215;wing
Adult;32.928;wing
Adult;29.735;wing
Adult;5.97;wing
Juvenile;2.909;wing
